timestamp,v2,v1,bh_510300
2022-03-18,121994.02661715072,122837.08100890645,107794.11341449695
2022-03-21,121999.18881094288,122851.48884208055,107628.8695002182
2022-03-22,121373.40479799088,122171.39870644207,107518.70689069905
2022-03-23,122333.4039474453,123207.69809084249,108207.2232001938
2022-03-24,122029.18413231276,122890.8393889872,107463.62558593947
2022-03-25,120394.37756040489,121127.63428835839,105342.99535269567
2022-03-28,119898.83226032322,120581.10546553772,104654.47904320092
2022-03-29,119620.19679125484,120287.57693625824,104158.74730036472
2022-03-30,122374.31317866848,123242.97539095463,107546.24754307883
2022-03-31,121483.33003344883,122285.55328569419,106692.48731930536
2022-04-01,122014.54930283842,122844.16056115636,108097.06059067464
2022-04-06,121590.19633327585,122380.22143391194,107766.57276211715
2022-04-07,119805.64009941035,120481.1451016129,106334.4588383681
2022-04-08,119910.59079709399,120573.78906545156,107105.5971050022
2022-04-11,117013.8669310079,117510.74072889463,103470.23099086997
2022-04-12,118994.38398441016,119635.0384551397,105398.07665745524
2022-04-13,117642.3015454613,118206.91773770064,104516.77578130197
2022-04-14,118596.21437917359,119201.89937180352,105728.56448601272
2022-04-15,118312.9619451466,118900.89237915266,105673.48318125315
2022-04-18,118103.07546334111,118676.28150376244,105122.67013365736
2022-04-19,117405.27160955039,117947.20272400197,104379.07251940302
2022-04-20,115418.03407776877,115867.0874112582,102451.22685281775
2022-04-21,113444.29188218442,113807.47959621847,100578.46249099205
2022-04-22,113295.88229760209,113648.15828846171,100853.86901478995
2022-04-25,108742.36689211505,108890.54273094649,95538.52310549053
2022-04-26,107564.14882559738,107637.6056747631,94712.30353409683
2022-04-27,110247.3864567025,110444.05322146488,97631.61268635455
2022-04-28,109385.74946312916,109530.50148861187,98347.66964822909
2022-04-29,112295.02362341892,112581.5247516871,101101.73488620804
2022-05-05,112179.73255289908,112457.45353337191,100688.62510051121
2022-05-06,110399.60090658313,110598.89452280354,98017.1818196716
2022-05-09,110328.6002526867,110508.19744070411,97135.88094351834
2022-05-10,111662.18588527472,111927.59968981807,98375.21030060887
2022-05-11,112896.46444812896,113256.2731953254,99889.9461814973
2022-05-12,113143.23286454276,113522.05365186428,99339.13313390152
2022-05-13,113684.11606805457,114104.9853021104,100192.89335767498
2022-05-16,112915.8156753617,113272.24516239343,99339.13313390152
2022-05-17,113624.88152084597,114035.14486341935,100688.62510051121
2022-05-18,113318.58705955405,113698.44724343721,100303.05596719414
2022-05-19,113792.97290904411,114207.49683688753,100550.92183861225
2022-05-20,115336.45820017337,115876.95614054636,102864.3366385146
2022-05-23,115402.96745520395,115943.0671477165,101983.03576236132
2022-05-24,112513.8237386099,112796.17544054938,99724.70226721857
2022-05-25,113204.06579627759,113557.2355614234,100192.89335767498
2022-05-26,113581.67622474284,113968.64346110447,100468.29988147289
2022-05-27,113696.8600610097,114093.93845263108,100743.70640527079
2022-05-30,114216.31948288076,114663.75049284029,101377.14141000595
2022-05-31,115768.97604163655,116357.8357872211,103139.74316231249
2022-06-01,115819.66933848168,116410.74038498482,102974.49924803375
2022-06-02,116345.5712012888,116945.89988248885,103277.44642421143
2022-06-06,118561.15689791592,119314.41276015836,105535.77991935419
2022-06-07,118829.36953864478,119624.54411878256,105701.02383363293
2022-06-08,119774.45159454952,120662.69678274952,106857.7312335841
2022-06-09,118361.54675021299,119188.77579896938,105921.34905267126
2022-06-10,120093.09388463607,120988.90691660943,107518.70689069905
2022-06-13,119354.63891261625,120218.61077769418,106086.59296694999
2022-06-14,120654.51490511693,121565.29027329641,107188.21906214158
2022-06-15,121389.97346401832,122352.23499621236,108537.71102875128
2022-06-16,121004.64274439188,121913.34667854292,107794.11341449695
2022-06-17,122421.77641900029,123383.7785834098,109529.1745144237
2022-06-20,122912.44540551913,123901.5576233763,110107.5282143993
2022-06-21,122474.50694001152,123438.90891761887,110052.44690963971
